2023-05-03 00:45:39 - INFO     | Scaping Langchain Docs
2023-05-03 02:25:53 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_03_02_25_53`
2023-05-03 02:32:27 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 02:32:27 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 02:32:27 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 02:32:41 - WARNING  | Created a chunk of size 1510, which is longer than the specified 400
2023-05-03 02:32:41 - WARNING  | Created a chunk of size 437, which is longer than the specified 400
2023-05-03 02:32:44 - WARNING  | Created a chunk of size 505, which is longer than the specified 400
2023-05-03 02:32:44 - WARNING  | Created a chunk of size 815, which is longer than the specified 400
2023-05-03 02:32:44 - WARNING  | Created a chunk of size 872, which is longer than the specified 400
2023-05-03 02:32:44 - WARNING  | Created a chunk of size 660, which is longer than the specified 400
2023-05-03 02:32:53 - INFO     | Timer Finished: (25.81 seconds)
2023-05-03 03:34:33 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 03:34:33 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 03:34:33 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 03:34:46 - WARNING  | Created a chunk of size 1510, which is longer than the specified 400
2023-05-03 03:34:46 - WARNING  | Created a chunk of size 437, which is longer than the specified 400
2023-05-03 03:34:49 - WARNING  | Created a chunk of size 505, which is longer than the specified 400
2023-05-03 03:34:49 - WARNING  | Created a chunk of size 815, which is longer than the specified 400
2023-05-03 03:34:49 - WARNING  | Created a chunk of size 872, which is longer than the specified 400
2023-05-03 03:34:49 - WARNING  | Created a chunk of size 660, which is longer than the specified 400
2023-05-03 03:34:58 - INFO     | Timer Finished: (24.81 seconds)
2023-05-03 03:34:58 - INFO     | Chunked into 26186 parts.
2023-05-03 03:34:58 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-03 03:34:58 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_03_03_34_58`
2023-05-03 21:53:46 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-03 21:53:46 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_03_21_53_46`
2023-05-03 22:01:20 - INFO     | Chunked into 26109 parts.
2023-05-03 22:01:53 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-03 22:01:53 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_03_22_01_53`
2023-05-03 22:54:41 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 22:54:42 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 22:54:42 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 23:20:30 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 23:20:31 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 23:20:31 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 23:21:17 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 23:21:17 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 23:21:17 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 23:21:28 - INFO     | Timer Finished: (10.63 seconds)
2023-05-03 23:25:18 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-03 23:25:19 - INFO     | Transforming 1238 pages from Langchain Docs
2023-05-03 23:25:19 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-03 23:25:32 - WARNING  | Created a chunk of size 1510, which is longer than the specified 400
2023-05-03 23:25:32 - WARNING  | Created a chunk of size 437, which is longer than the specified 400
2023-05-03 23:25:35 - WARNING  | Created a chunk of size 505, which is longer than the specified 400
2023-05-03 23:25:35 - WARNING  | Created a chunk of size 815, which is longer than the specified 400
2023-05-03 23:25:35 - WARNING  | Created a chunk of size 872, which is longer than the specified 400
2023-05-03 23:25:35 - WARNING  | Created a chunk of size 660, which is longer than the specified 400
2023-05-03 23:25:44 - INFO     | Timer Finished: (25.56 seconds)
2023-05-03 23:25:44 - INFO     | Chunked into 10980 parts.
2023-05-03 23:25:44 - INFO     | Removed 64 chunks with <= 50 characters.
2023-05-03 23:25:44 - INFO     | Saving 10916 chunks.
2023-05-03 23:25:44 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-03 23:25:44 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_03_23_25_44`
2023-05-04 01:43:37 - INFO     | Loading data `langchain_doc_chunks` from `data/processed/langchain_doc_chunks.pkl`
2023-05-04 01:43:37 - INFO     | Anonymized telemetry enabled. See https://docs.trychroma.com/telemetry for more information.
2023-05-04 01:43:37 - INFO     | Running Chroma using direct local API.
2023-05-04 01:43:37 - WARNING  | Using embedded DuckDB with persistence: data will be stored in: /code/.vectordb/
2023-05-04 01:43:37 - INFO     | Successfully imported ClickHouse Connect C data optimizations
2023-05-04 01:43:37 - INFO     | Successfully import ClickHouse Connect C/Numpy optimizations
2023-05-04 01:43:37 - INFO     | Using python library for writing JSON byte strings
2023-05-04 01:43:38 - INFO     | loaded in 43664 embeddings
2023-05-04 01:43:38 - INFO     | No existing DB found in /code/.vectordb/, skipping load
2023-05-04 01:43:38 - WARNING  | No embedding_function provided, using default embedding function: SentenceTransformerEmbeddingFunction
2023-05-04 01:43:39 - INFO     | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-05-04 01:43:40 - INFO     | Use pytorch device: cpu
2023-05-04 01:43:40 - INFO     | PersistentDuckDB del, about to run persist
2023-05-04 01:43:40 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 01:44:25 - INFO     | Loading data `langchain_doc_chunks` from `data/processed/langchain_doc_chunks.pkl`
2023-05-04 01:44:25 - INFO     | Anonymized telemetry enabled. See https://docs.trychroma.com/telemetry for more information.
2023-05-04 01:44:25 - INFO     | Running Chroma using direct local API.
2023-05-04 01:44:25 - WARNING  | Using embedded DuckDB with persistence: data will be stored in: /code/.vectordb/
2023-05-04 01:44:25 - INFO     | Successfully imported ClickHouse Connect C data optimizations
2023-05-04 01:44:25 - INFO     | Successfully import ClickHouse Connect C/Numpy optimizations
2023-05-04 01:44:25 - INFO     | Using python library for writing JSON byte strings
2023-05-04 01:44:27 - INFO     | loaded in 43664 embeddings
2023-05-04 01:44:27 - INFO     | loaded in 1 collections
2023-05-04 01:44:27 - INFO     | collection with name langchain already exists, returning existing collection
2023-05-04 01:44:27 - WARNING  | No embedding_function provided, using default embedding function: SentenceTransformerEmbeddingFunction
2023-05-04 01:44:27 - INFO     | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-05-04 01:44:28 - INFO     | Use pytorch device: cpu
2023-05-04 01:49:49 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 01:49:59 - INFO     | PersistentDuckDB del, about to run persist
2023-05-04 01:49:59 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 01:58:43 - INFO     | Timer Started: Scraping Langchain Docs
2023-05-04 02:01:23 - INFO     | Timer Finished: (160.16 seconds)
2023-05-04 02:01:23 - INFO     | Scraped 436 pages from Langchain Docs
2023-05-04 02:01:59 - INFO     | Timer Started: Scraping Langchain Docs
2023-05-04 02:04:29 - INFO     | Timer Finished: (150.37 seconds)
2023-05-04 02:04:29 - INFO     | Scraped 436 pages from Langchain Docs
2023-05-04 02:04:29 - INFO     | Saving data `langchain_docs` to `data/raw/langchain_docs.pkl`
2023-05-04 02:04:29 - INFO     | Backing up current data `langchain_docs` to `data/raw/langchain_docs.pkl.2023_05_04_02_04_29`
2023-05-04 02:04:30 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-04 02:04:30 - INFO     | Transforming 436 pages from Langchain Docs
2023-05-04 02:04:30 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-04 02:04:32 - INFO     | Timer Finished: (2.13 seconds)
2023-05-04 02:04:32 - INFO     | Chunked into 1446 parts.
2023-05-04 02:04:32 - INFO     | Removed 129 chunks with <= 50 characters.
2023-05-04 02:04:32 - INFO     | Saving 1317 chunks.
2023-05-04 02:04:32 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-04 02:04:32 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_04_02_04_32`
2023-05-04 02:04:33 - INFO     | Loading data `langchain_doc_chunks` from `data/processed/langchain_doc_chunks.pkl`
2023-05-04 02:04:34 - INFO     | Anonymized telemetry enabled. See https://docs.trychroma.com/telemetry for more information.
2023-05-04 02:04:34 - INFO     | Running Chroma using direct local API.
2023-05-04 02:04:34 - WARNING  | Using embedded DuckDB with persistence: data will be stored in: /code/.vectordb/
2023-05-04 02:04:34 - INFO     | Successfully imported ClickHouse Connect C data optimizations
2023-05-04 02:04:34 - INFO     | Successfully import ClickHouse Connect C/Numpy optimizations
2023-05-04 02:04:34 - INFO     | Using python library for writing JSON byte strings
2023-05-04 02:04:35 - INFO     | loaded in 54580 embeddings
2023-05-04 02:04:35 - INFO     | loaded in 1 collections
2023-05-04 02:04:35 - INFO     | collection with name langchain already exists, returning existing collection
2023-05-04 02:04:35 - WARNING  | No embedding_function provided, using default embedding function: SentenceTransformerEmbeddingFunction
2023-05-04 02:04:36 - INFO     | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-05-04 02:04:36 - INFO     | Use pytorch device: cpu
2023-05-04 02:04:52 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 02:05:03 - INFO     | PersistentDuckDB del, about to run persist
2023-05-04 02:05:03 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 02:30:24 - INFO     | Loading data `langchain_docs` from `data/raw/langchain_docs.pkl`
2023-05-04 02:30:24 - INFO     | Transforming 436 pages from Langchain Docs
2023-05-04 02:30:24 - INFO     | Timer Started: Chunking Langchain Docs
2023-05-04 02:30:26 - INFO     | Timer Finished: (1.92 seconds)
2023-05-04 02:30:26 - INFO     | Chunked into 1446 parts.
2023-05-04 02:30:26 - INFO     | Removed 129 chunks with <= 50 characters.
2023-05-04 02:30:26 - INFO     | Saving 1317 chunks.
2023-05-04 02:30:26 - INFO     | Saving data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl`
2023-05-04 02:30:26 - INFO     | Backing up current data `langchain_doc_chunks` to `data/processed/langchain_doc_chunks.pkl.2023_05_04_02_30_26`
2023-05-04 02:30:27 - INFO     | Loading data `langchain_doc_chunks` from `data/processed/langchain_doc_chunks.pkl`
2023-05-04 02:30:27 - INFO     | Anonymized telemetry enabled. See https://docs.trychroma.com/telemetry for more information.
2023-05-04 02:30:27 - INFO     | Running Chroma using direct local API.
2023-05-04 02:30:27 - WARNING  | Using embedded DuckDB with persistence: data will be stored in: /code/.vectordb/
2023-05-04 02:30:27 - INFO     | Successfully imported ClickHouse Connect C data optimizations
2023-05-04 02:30:27 - INFO     | Successfully import ClickHouse Connect C/Numpy optimizations
2023-05-04 02:30:28 - INFO     | Using python library for writing JSON byte strings
2023-05-04 02:30:28 - INFO     | loaded in 55897 embeddings
2023-05-04 02:30:28 - INFO     | loaded in 1 collections
2023-05-04 02:30:28 - INFO     | collection with name langchain already exists, returning existing collection
2023-05-04 02:30:28 - WARNING  | No embedding_function provided, using default embedding function: SentenceTransformerEmbeddingFunction
2023-05-04 02:30:29 - INFO     | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2023-05-04 02:30:29 - INFO     | Use pytorch device: cpu
2023-05-04 02:30:43 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
2023-05-04 02:30:54 - INFO     | PersistentDuckDB del, about to run persist
2023-05-04 02:30:54 - INFO     | Persisting DB to disk, putting it in the save folder: /code/.vectordb/
